,symbol,asof_datetime,DataSource,last_trade_price,current_nbbo_bid_price,current_nbbo_ask_price,current_nbbo_bid_size,current_nbbo_ask_size,last_trade_volume
0,00USD,2025-03-06 21:10:58.936888+00:00,FMP,0.0381,0.0381,0.0381,127.24,127.24,127.24
1,1INCHUSD,2025-03-06 21:10:58.936888+00:00,FMP,0.232,0.232,0.232,0.0,0.0,85.14
2,A,2025-03-06 21:10:58.936888+00:00,FMP,126.86,126.85,126.96,1.0,2.0,100.0
3,AA,2025-03-06 21:10:58.936888+00:00,FMP,32.95,32.9,32.95,1.0,3.0,100.0
4,AAA,2025-03-06 21:10:58.936888+00:00,FMP,25.11,25.11,25.13,10.0,3.0,200.0
5,AAAU,2025-03-06 21:10:58.936888+00:00,FMP,28.815,28.81,28.82,32.0,191.0,131.0
6,AABB,2025-03-06 21:10:58.936888+00:00,FMP,0.02,0.0,0.0,0.0,0.0,170.0
7,AABVF,2025-03-06 21:10:58.936888+00:00,FMP,0.0423,0.0,0.0,0.0,0.0,12700.0
8,AAC,2025-03-06 21:10:58.936888+00:00,FMP,0.0,0.0,0.0,0.0,0.0,0.0
9,AACAF,2025-03-06 21:10:58.936888+00:00,FMP,2.38,0.0,0.0,0.0,0.0,250.0
10,AACAY,2025-03-06 21:10:58.936888+00:00,FMP,2.05,0.0,0.0,0.0,0.0,897.0
11,AACBU,2025-03-06 21:10:58.936888+00:00,FMP,10.03,10.03,10.04,50.0,241.0,100.0
12,AACG,2025-03-06 21:10:58.936888+00:00,FMP,1.0,0.9899,1.01,3.0,72.0,300.0
13,AACI,2025-03-06 21:10:58.936888+00:00,FMP,0.0,0.0,0.0,0.0,0.0,0.0
14,AACIU,2025-03-06 21:10:58.936888+00:00,FMP,10.51,0.0,0.0,0.0,0.0,10.0
15,AACIW,2025-03-06 21:10:58.936888+00:00,FMP,0.14305,0.1111,0.175,30.0,1.0,0.0
16,AACT,2025-03-06 21:10:58.936888+00:00,FMP,11.095,11.09,11.1,52.0,1291.0,1000.0
17,AACT-UN,2025-03-06 21:10:58.936888+00:00,FMP,11.05,9.75,11.36,1.0,1.0,0.0
18,AACTF,2025-03-06 21:10:58.936888+00:00,FMP,0.0151,0.0,0.0,0.0,0.0,1851.0
19,AADI,2025-03-06 21:10:58.936888+00:00,FMP,2.09,2.06,2.12,6.0,6.0,100.0
20,AADR,2025-03-06 21:10:58.936888+00:00,FMP,76.05,75.7,76.05,1.0,1.0,181.0
21,AAFRF,2025-03-06 21:10:58.936888+00:00,FMP,1.427,0.0,0.0,0.0,0.0,5361.0
22,AAGC,2025-03-06 21:10:58.936888+00:00,FMP,0.0004,0.0,0.0,0.0,0.0,45000.0
23,AAGFF,2025-03-06 21:10:58.936888+00:00,FMP,0.295,0.0,0.0,0.0,0.0,255.0
24,AAGH,2025-03-06 21:10:58.936888+00:00,FMP,0.008,0.0,0.0,0.0,0.0,2100.0
25,AAGIY,2025-03-06 21:10:58.936888+00:00,FMP,27.32,0.0,0.0,0.0,0.0,657.0
26,AAGR,2025-03-06 21:10:58.936888+00:00,FMP,1e-06,0.0,0.0,0.0,0.0,140.0
27,AAGRW,2025-03-06 21:10:58.936888+00:00,FMP,0.0002,0.0065,0.0089,24.0,1.0,3.0
28,AAIC,2025-03-06 21:10:58.936888+00:00,FMP,0.0,0.0,0.0,0.0,0.0,0.0
29,AAIGF,2025-03-06 21:10:58.936888+00:00,FMP,9.765,0.0,0.0,0.0,0.0,927.0
30,AAIN,2025-03-06 21:10:58.936888+00:00,FMP,0.0,0.0,0.0,0.0,0.0,0.0
31,AAIRF,2025-03-06 21:10:58.936888+00:00,FMP,0.328,0.0,0.0,0.0,0.0,280.0
32,AAL,2025-03-06 21:10:58.936888+00:00,FMP,13.305,13.3,13.31,55.0,81.0,100.0
33,AAM,2025-03-06 21:10:58.936888+00:00,FMP,10.2245,10.21,10.24,500.0,1.0,195.0
