,symbol,bid,bidSize,ask,askSize,regularMarketVolume
0,DNNGY,12.82,40000.0,12.85,40000.0,5802.0
1,KDLY,1.32,100.0,1.4,100.0,1410.0
2,XPEV,15.71,1800.0,15.72,1100.0,6399634.0
3,IHAK,50.88,900.0,50.93,1200.0,57113.0
4,SASKF,0.403,381200.0,0.4104,,9961.0
5,BWEB,61.18,1000.0,61.24,1000.0,128.0
6,SID,1.61,28000.0,1.62,38500.0,2544518.0
7,MSGS,219.34,800.0,219.98,800.0,10231.0
8,USDC,,,,,10200.0
9,CNDA,10.65,800.0,10.7,900.0,1.0
10,DUKQ,27.55,2200.0,27.56,3100.0,1232.0
11,FCOB,14.87,40000.0,14.95,40000.0,25.0
12,SCNX,7.62,200.0,,,2974.0
13,LPAA,10.03,9000.0,10.0,500.0,1902.0
14,MGLD,1.04,1100.0,1.08,3000.0,22943.0
15,LIFFF,1.86,40000.0,1.94,40000.0,200.0
16,EEMS,57.11,900.0,57.22,900.0,3132.0
17,WRSLF,0.2571,,0.3366,,7231.0
18,OUTKY,1.47,,1.61,,200.0
19,BFIT,,1000.0,,1100.0,1119.0
20,BPMC,113.79,100.0,114.01,100.0,540414.0
21,NAAS,1.55,100.0,1.99,200.0,139386.0
22,EURTJS,,,,,
23,VC,86.66,100.0,86.88,100.0,50275.0
24,FRRVY,,,,,
25,TSMY,18.43,1100.0,18.48,800.0,19967.0
26,SPFX,1.8,40000.0,1.9,40000.0,100.0
27,TMSL,34.23,800.0,34.24,2200.0,53844.0
28,JEMB,50.78,,51.39,,
29,SYRE,16.28,200.0,22.31,100.0,185355.0
30,FTEC,183.19,1000.0,183.29,1000.0,158738.0
31,CLNE,3.29,200.0,3.42,300.0,2892006.0
32,LIXTW,,,,,57.0
33,SMAY,25.39,1800.0,25.46,2200.0,750.0
34,PMAR,40.68,1200.0,40.74,1400.0,13588.0
35,SMXT,1.73,100.0,1.77,100.0,31639.0
36,DUKZ,25.3,2200.0,25.32,2200.0,1552.0
37,ARHS,12.41,200.0,12.55,200.0,393489.0
38,WBWB,,,,,100.0
39,ELAB,1.67,100.0,1.8,100.0,2341943.0
40,CIBR,67.3,500.0,67.65,1000.0,411130.0
41,AVGX,26.62,300.0,26.7,300.0,2108010.0
42,AMPY,5.47,800.0,5.48,900.0,103818.0
43,MRUS,30.29,200.0,41.7,200.0,318565.0
44,FRLA,11.15,,11.49,,100.0
45,CYDY,0.178,,0.1799,,2730666.0
46,DDM,105.16,1100.0,105.18,900.0,124081.0
47,SDHC,25.01,3000.0,25.38,900.0,27536.0
48,BLIN,,,,,59383.0
49,YQQQ,11.91,200.0,21.28,200.0,24906.0
50,PRKS,52.3,1000.0,52.36,1000.0,93971.0
51,OSTX,2.05,900.0,2.08,800.0,407374.0
52,TIOAW,,,,,
53,STG,6.51,1300.0,6.77,1400.0,1847.0
54,MCZAF,,,,,121000.0
55,DRMAW,,,,,7600.0
56,SMCX,31.3,100.0,31.46,100.0,440199.0
57,LAZ,55.1,800.0,55.19,800.0,1051258.0
58,DRH,8.86,2200.0,8.87,800.0,201495.0
59,BWLP,13.28,1100.0,13.3,1100.0,647023.0
60,MSFD,13.84,100.0,13.89,100.0,168958.0
